FIMP,Declaration_Date,Day,Start_Month,Start_Year,Day,End_Month,End_Year,Employment,Employer
1053,28/03/2023,1,January ,2022,25,March,2022,Parliamentary Secretary,Government of Malta
1053,29/03/2023,1,April,2022,21,December,2022,Onorarja as a Member of Parliament,Government of Malta
1059,25/04/2023,,,,,,,Family Doctor,
1059,25/04/2023,,,,,,,Parliamentary Pension,
1059,25/04/2023,,,,,,,Disablement Pension,
1062,25/04/2023,,,,,,,Office of the Group Chief Risk Officer,Bank of Valletta
1064,11/04/2023,,,,,,,Lawyer,Self-Employed
1067,22/02/2023,,,,,,,Regulatory Affairs Manager,MeDirect Bank (Malta) p.l.c
1068,27/04/2023,,,,,,,Architect,Infrastructure Malta
1069,10/04/2023,,,,,,,Nurse,Ministry of Health
1069,10/04/2023,,,,,,,Assistant Lecturer,University of Malta
1070,22/04/2023,,,,,,,Lawyer,Self-Employed
1073,15/02/2023,,,,,,,Chief Executive Officer (CEO),AM Restaurants Ltd
1075,27/03/2023,,,,,,,Lawyer,HSBC Bank Malta
1076,08/03/2023,,,,,February,2022,Member of Parliament,Government of Malta
1078,08/02/2023,,,,,,,Economist,Self-Employed
1081,09/03/2023,,,,,,,Manager (Accounts and Finance),Ministry for Finance and Employment - Treasury Department
1082,24/02/2023,,,,,,,System Tech Lead,Bally's Interactive
1083,19/04/2023,,,,,,,Teacher,The public service of Malta
1085,10/03/2023,,,,,,,Senior Principal,Government of Malta
1086,11/02/2023,,,,,,,Chief Executive Officer (CEO),Agenzija Sapport
1087,24/04/2023,,,,,,,Lawyer,MEDE - self employed. PT
1090,20/03/2023,,,,,,,AHP Podiatrist,Ministry of Health
1090,20/03/2023,,,,,,,Podiatrist,Self-Employed
1091,01/04/2023,,,,,,,Teacher of ICT and Music,St Francis School Birkirkara
1092,08/02/2023,,,,,,,Lawyer,Self-Employed
1093,18/04/2023,,,,,,,Industry 4.0 Smart- Factory Manager,Seifert Systems Ltd (C 19223)
1094,25/04/2023,,,,,,,Senior Pharmacist,Malta Medecines Authority
