,,FIMP,Declaration_Date,Entity,Position
,,1076,08/03/2023,Transport Malta (From August 2022),Board Member
,,1078,08/02/2023,"Socjeta Filarmonika Nicola Isuard, Mosta",Honorary President
,,1078,08/02/2023,"Socjeta Filarmonika Santa Maria, Mosta",Honorary President
,,1078,08/02/2023,"Socjeta Filarmonika 15 ta' Awissu, Mosta",Honorary Member
,,1078,08/02/2023,"Socjeta Muzikali ta Stella Levantina, Attard",Honorary President
,,1079,19/02/2023,"L-Eremita' Co Ltd e93672 - 1,200 Ordinary shares of EUR 1 each fully paid",Community of Acquests
,,1081,09/03/2023,Malta Government Investments,Director
,,1081,09/03/2023,"MCAST - Malta College of Arts, Science & Technology",Board Member
,,1082,24/02/2023,"Socjeta Filarmonika la Stella, il-Gudja",Honorary President
,,1082,24/02/2023,"Socjeta Filarmonika Stella Maris, Tas-Sliema",Honorary Member
,,1082,24/02/2023,Partit Nazzjonalista,President of the General Council
,,1086,11/02/2023,Foundation for Information Technology Accessibility,Member
,,1086,11/02/2023,Kunsill Universita ta' Malta,Member
,,1086,11/02/2023,Commission for the Rights of Persons with Disability,Member
,,1086,11/02/2023,Extend (NGO),Member
,,1092,08/02/2023,Socjeta Muzikali San Pio X Lija,Honorary President
,,1092,08/02/2023,"Socjeta Muzikali Duk of Connaughtown, B'kara",Honorary President
,,1092,08/02/2023,Lija Athletic Football Club,Honorary President
,,1093,18/04/2023,Partit Nazjonalista,Member of the Executive Committee
,,1093,18/04/2023,Ghaqda Muzikali San Pietru fil-Ktajjen AD1957,Member
,,1093,18/04/2023,Klabb Regatta Birzebbuga,Member
,,1093,18/04/2023,St Peter's Football Club,Member
,,1093,18/04/2023,Ghaqda tal-Armar Triq 13 ta'Dicembru,Member
,,1094,25/04/2023,Emy's Enterprises LTD - termination of this role is imminent,Director
